date,sales,temp,holiday,promo
2022-01-01,1041.0,2.8,1.0,1.0
2022-01-02,1064.0,6.0,1.0,1.0
2022-01-03,727.0,2.1,1.0,1.0
2022-01-04,825.0,5.3,1.0,1.0
2022-01-05,940.0,1.7,1.0,1.3
2022-01-06,742.0,2.9,1.0,1.0
2022-01-07,705.0,0.9,1.0,1.0
2022-01-08,1083.0,3.9,1.0,1.0
2022-01-09,1387.0,5.9,1.0,1.3
2022-01-10,787.0,2.8,1.0,1.0
2022-01-11,813.0,2.6,1.0,1.0
2022-01-12,864.0,0.8,1.0,1.0
2022-01-13,676.0,2.6,1.0,1.0
2022-01-14,697.0,-0.1,1.0,1.0
2022-01-15,925.0,1.2,1.0,1.0
2022-01-16,935.0,3.5,1.0,1.0
2022-01-17,727.0,5.8,1.0,1.0
2022-01-18,1025.0,8.8,1.0,1.3
2022-01-19,685.0,2.0,1.0,1.0
2022-01-20,792.0,6.1,1.0,1.0
2022-01-21,755.0,3.8,1.0,1.0
2022-01-22,995.0,3.0,1.0,1.0
2022-01-23,1010.0,4.2,1.0,1.0
2022-01-24,773.0,3.5,1.0,1.0
2022-01-25,730.0,3.7,1.0,1.0
2022-01-26,830.0,2.7,1.0,1.0
2022-01-27,729.0,0.8,1.0,1.0
2022-01-28,827.0,0.6,1.0,1.3
2022-01-29,1381.0,5.0,1.5,1.0
2022-01-30,1285.0,3.2,1.5,1.0
2022-01-31,1095.0,2.7,1.5,1.0
2022-02-01,1102.0,4.0,1.5,1.0
2022-02-02,1099.0,5.6,1.5,1.0
2022-02-03,1247.0,4.5,1.5,1.0
2022-02-04,1125.0,2.9,1.5,1.0
2022-02-05,1548.0,6.7,1.5,1.0
2022-02-06,1223.0,7.5,1.0,1.3
2022-02-07,702.0,5.5,1.0,1.0
2022-02-08,757.0,6.5,1.0,1.0
2022-02-09,768.0,7.2,1.0,1.0
2022-02-10,673.0,7.1,1.0,1.0
2022-02-11,740.0,6.1,1.0,1.0
2022-02-12,973.0,6.2,1.0,1.0
2022-02-13,958.0,6.2,1.0,1.0
2022-02-14,682.0,3.1,1.0,1.0
2022-02-15,725.0,6.8,1.0,1.0
2022-02-16,705.0,2.8,1.0,1.0
2022-02-17,727.0,4.0,1.0,1.0
2022-02-18,787.0,8.4,1.0,1.0
2022-02-19,1354.0,7.6,1.0,1.3
2022-02-20,974.0,9.0,1.0,1.0
2022-02-21,927.0,5.6,1.0,1.3
2022-02-22,737.0,4.0,1.0,1.0
2022-02-23,762.0,6.0,1.0,1.0
2022-02-24,722.0,6.8,1.0,1.0
2022-02-25,777.0,6.9,1.0,1.0
2022-02-26,1044.0,9.2,1.0,1.0
2022-02-27,1029.0,6.3,1.0,1.0
2022-02-28,1076.0,7.9,1.0,1.3
2022-03-01,893.0,5.4,1.0,1.3
2022-03-02,751.0,8.4,1.0,1.0
2022-03-03,744.0,7.7,1.0,1.0
2022-03-04,727.0,6.4,1.0,1.0
2022-03-05,926.0,7.6,1.0,1.0
2022-03-06,880.0,7.8,1.0,1.0
2022-03-07,746.0,7.8,1.0,1.0
2022-03-08,733.0,12.1,1.0,1.0
2022-03-09,751.0,8.5,1.0,1.0
2022-03-10,923.0,8.4,1.0,1.3
2022-03-11,667.0,4.9,1.0,1.0
2022-03-12,971.0,7.5,1.0,1.0
2022-03-13,981.0,8.9,1.0,1.0
2022-03-14,768.0,8.2,1.0,1.0
2022-03-15,868.0,12.6,1.0,1.0
2022-03-16,994.0,9.7,1.0,1.3
2022-03-17,789.0,12.8,1.0,1.0
2022-03-18,708.0,10.5,1.0,1.0
2022-03-19,908.0,10.6,1.0,1.0
2022-03-20,1077.0,10.6,1.0,1.0
2022-03-21,717.0,11.0,1.0,1.0
2022-03-22,721.0,14.6,1.0,1.0
2022-03-23,726.0,6.7,1.0,1.0
2022-03-24,731.0,7.5,1.0,1.0
2022-03-25,716.0,10.7,1.0,1.0
2022-03-26,1266.0,12.0,1.0,1.3
2022-03-27,1393.0,13.5,1.0,1.3
2022-03-28,730.0,13.3,1.0,1.0
2022-03-29,698.0,11.8,1.0,1.0
2022-03-30,813.0,14.8,1.0,1.0
2022-03-31,792.0,15.0,1.0,1.0
2022-04-01,740.0,13.5,1.0,1.0
2022-04-02,906.0,15.3,1.0,1.0
2022-04-03,956.0,14.1,1.0,1.0
2022-04-04,764.0,12.6,1.0,1.0
2022-04-05,825.0,15.4,1.0,1.0
2022-04-06,723.0,14.4,1.0,1.0
2022-04-07,767.0,14.4,1.0,1.0
2022-04-08,1038.0,17.5,1.0,1.3
2022-04-09,1093.0,9.9,1.0,1.3
2022-04-10,1059.0,12.2,1.0,1.0
2022-04-11,715.0,12.8,1.0,1.0
2022-04-12,789.0,14.7,1.0,1.0
2022-04-13,786.0,15.1,1.0,1.0
2022-04-14,821.0,12.8,1.0,1.0
2022-04-15,800.0,14.1,1.0,1.0
2022-04-16,865.0,14.5,1.0,1.0
2022-04-17,929.0,21.4,1.0,1.0
2022-04-18,765.0,20.3,1.0,1.0
2022-04-19,998.0,16.0,1.0,1.3
2022-04-20,800.0,16.3,1.0,1.0
2022-04-21,816.0,15.0,1.0,1.0
2022-04-22,807.0,13.6,1.0,1.0
2022-04-23,997.0,17.4,1.0,1.0
2022-04-24,903.0,15.9,1.0,1.0
2022-04-25,756.0,17.9,1.0,1.0
2022-04-26,803.0,15.1,1.0,1.0
2022-04-27,731.0,16.9,1.0,1.0
2022-04-28,804.0,19.0,1.0,1.0
2022-04-29,814.0,19.6,1.0,1.0
2022-04-30,1010.0,19.9,1.0,1.0
2022-05-01,835.0,16.6,1.0,1.0
2022-05-02,706.0,21.1,1.0,1.0
2022-05-03,1135.0,18.0,1.0,1.3
2022-05-04,742.0,21.1,1.0,1.0
2022-05-05,889.0,20.0,1.0,1.3
2022-05-06,849.0,17.4,1.0,1.0
2022-05-07,1015.0,19.7,1.0,1.0
2022-05-08,1388.0,21.3,1.0,1.3
2022-05-09,1012.0,22.0,1.0,1.3
2022-05-10,799.0,20.6,1.0,1.0
2022-05-11,765.0,24.2,1.0,1.0
2022-05-12,790.0,23.3,1.0,1.0
2022-05-13,886.0,20.9,1.0,1.0
2022-05-14,1049.0,23.1,1.0,1.0
2022-05-15,871.0,25.7,1.0,1.0
2022-05-16,987.0,25.9,1.0,1.3
2022-05-17,848.0,19.7,1.0,1.0
2022-05-18,847.0,20.4,1.0,1.0
2022-05-19,728.0,25.4,1.0,1.0
2022-05-20,1102.0,20.5,1.0,1.3
2022-05-21,1093.0,20.1,1.0,1.0
2022-05-22,1176.0,22.0,1.0,1.0
2022-05-23,733.0,23.9,1.0,1.0
2022-05-24,754.0,23.0,1.0,1.0
2022-05-25,773.0,22.1,1.0,1.0
2022-05-26,765.0,22.2,1.0,1.0
2022-05-27,747.0,22.3,1.0,1.0
2022-05-28,859.0,22.1,1.0,1.0
2022-05-29,929.0,28.5,1.0,1.0
2022-05-30,1024.0,24.7,1.0,1.3
2022-05-31,737.0,26.0,1.0,1.0
2022-06-01,878.0,23.4,1.0,1.0
2022-06-02,1016.0,24.1,1.0,1.3
2022-06-03,853.0,23.2,1.0,1.0
2022-06-04,1414.0,19.4,1.0,1.3
2022-06-05,1098.0,22.1,1.0,1.0
2022-06-06,827.0,21.4,1.0,1.0
2022-06-07,888.0,20.6,1.0,1.0
2022-06-08,806.0,22.8,1.0,1.0
2022-06-09,779.0,28.0,1.0,1.0
2022-06-10,1040.0,25.3,1.0,1.3
2022-06-11,969.0,28.1,1.0,1.0
2022-06-12,1032.0,26.4,1.0,1.0
2022-06-13,1134.0,27.3,1.0,1.3
2022-06-14,790.0,24.0,1.0,1.0
2022-06-15,795.0,26.9,1.0,1.0
2022-06-16,831.0,27.4,1.0,1.0
2022-06-17,854.0,24.9,1.0,1.0
2022-06-18,1012.0,27.2,1.0,1.0
2022-06-19,868.0,27.3,1.0,1.0
2022-06-20,827.0,25.2,1.0,1.0
2022-06-21,706.0,24.1,1.0,1.0
2022-06-22,889.0,24.0,1.0,1.0
2022-06-23,800.0,26.6,1.0,1.0
2022-06-24,836.0,27.2,1.0,1.0
2022-06-25,1299.0,25.0,1.0,1.3
2022-06-26,940.0,26.7,1.0,1.0
2022-06-27,800.0,27.8,1.0,1.0
2022-06-28,787.0,28.0,1.0,1.0
2022-06-29,751.0,29.9,1.0,1.0
2022-06-30,784.0,29.4,1.0,1.0
2022-07-01,962.0,24.8,1.0,1.0
2022-07-02,1060.0,30.2,1.0,1.0
2022-07-03,1130.0,25.8,1.0,1.0
2022-07-04,829.0,29.0,1.0,1.0
2022-07-05,881.0,27.1,1.0,1.0
2022-07-06,811.0,26.1,1.0,1.0
2022-07-07,970.0,23.4,1.0,1.3
2022-07-08,809.0,26.6,1.0,1.0
2022-07-09,1158.0,23.9,1.0,1.0
2022-07-10,980.0,28.9,1.0,1.0
2022-07-11,785.0,30.0,1.0,1.0
2022-07-12,1045.0,25.4,1.0,1.3
2022-07-13,892.0,27.6,1.0,1.0
2022-07-14,879.0,25.5,1.0,1.0
2022-07-15,874.0,25.7,1.0,1.0
2022-07-16,1098.0,28.5,1.0,1.0
2022-07-17,1079.0,26.8,1.0,1.0
2022-07-18,812.0,30.4,1.0,1.0
2022-07-19,785.0,25.9,1.0,1.0
2022-07-20,711.0,28.8,1.0,1.0
2022-07-21,845.0,27.0,1.0,1.0
2022-07-22,842.0,28.3,1.0,1.0
2022-07-23,1546.0,25.8,1.0,1.3
2022-07-24,1566.0,26.6,1.0,1.3
2022-07-25,930.0,26.4,1.0,1.0
2022-07-26,1061.0,24.9,1.0,1.3
2022-07-27,821.0,27.8,1.0,1.0
2022-07-28,1125.0,27.7,1.0,1.3
2022-07-29,973.0,27.6,1.0,1.0
2022-07-30,1173.0,29.4,1.0,1.0
2022-07-31,1155.0,29.1,1.0,1.0
2022-08-01,851.0,25.4,1.0,1.0
2022-08-02,812.0,26.8,1.0,1.0
2022-08-03,924.0,24.8,1.0,1.0
